season,playerId,player,position,team,conference,category,statType,stat
2024,4428887,Davis Beville,QB,South Carolina,SEC,passing,YDS,46
2024,4428887,Davis Beville,QB,South Carolina,SEC,passing,YPA,6.6
2024,4428961,Jordan Yates,QB,Tennessee Tech,Big South-OVC,passing,ATT,6
2024,4428961,Jordan Yates,QB,Tennessee Tech,Big South-OVC,passing,COMPLETIONS,4
2024,4428961,Jordan Yates,QB,Tennessee Tech,Big South-OVC,passing,INT,0
2024,4428961,Jordan Yates,QB,Tennessee Tech,Big South-OVC,passing,PCT,0.667
2024,4428961,Jordan Yates,QB,Tennessee Tech,Big South-OVC,passing,TD,0
2024,4428961,Jordan Yates,QB,Tennessee Tech,Big South-OVC,passing,YDS,48
2024,4428961,Jordan Yates,QB,Tennessee Tech,Big South-OVC,passing,YPA,8.0
2024,4428993,Haynes King,QB,Georgia Tech,ACC,passing,ATT,269
2024,4428993,Haynes King,QB,Georgia Tech,ACC,passing,COMPLETIONS,196
2024,4428993,Haynes King,QB,Georgia Tech,ACC,passing,INT,2
2024,4428993,Haynes King,QB,Georgia Tech,ACC,passing,PCT,0.729
2024,4428993,Haynes King,QB,Georgia Tech,ACC,passing,TD,14
2024,4428993,Haynes King,QB,Georgia Tech,ACC,passing,YDS,2114
2024,4428993,Haynes King,QB,Georgia Tech,ACC,passing,YPA,7.9
2024,4429020,D.J. Uiagalelei,QB,Florida State,ACC,passing,ATT,156
2024,4429020,D.J. Uiagalelei,QB,Florida State,ACC,passing,COMPLETIONS,84
2024,4429020,D.J. Uiagalelei,QB,Florida State,ACC,passing,INT,6
2024,4429020,D.J. Uiagalelei,QB,Florida State,ACC,passing,PCT,0.538
2024,4429020,D.J. Uiagalelei,QB,Florida State,ACC,passing,TD,4
2024,4429020,D.J. Uiagalelei,QB,Florida State,ACC,passing,YDS,1065
2024,4429020,D.J. Uiagalelei,QB,Florida State,ACC,passing,YPA,6.8
2024,4429032,Hudson Card,QB,Purdue,Big Ten,passing,ATT,248
2024,4429032,Hudson Card,QB,Purdue,Big Ten,passing,COMPLETIONS,144
2024,4429032,Hudson Card,QB,Purdue,Big Ten,passing,INT,7
2024,4429032,Hudson Card,QB,Purdue,Big Ten,passing,PCT,0.581
2024,4429032,Hudson Card,QB,Purdue,Big Ten,passing,TD,9
2024,4429032,Hudson Card,QB,Purdue,Big Ten,passing,YDS,1641
2024,4429032,Hudson Card,QB,Purdue,Big Ten,passing,YPA,6.6
2024,4429066,Jeff Sims,QB,Arizona State,Big 12,passing,ATT,25
