season,id,name,position,team,conference,usage
2024,4426463,Dannis Jackson,WR,Southern Miss,SBC,"{'overall': 0.036, 'pass': 0.058, 'rush': 0.013, 'firstDown': 0.048, 'secondDown': 0.029, 'thirdDown': 0.029, 'standardDowns': 0.038, 'passingDowns': 0.033}"
2024,4426478,Colby Bowman,WR,Utah State,MWC,"{'overall': 0.022, 'pass': 0.04, 'rush': 0, 'firstDown': 0.008, 'secondDown': 0.022, 'thirdDown': 0.034, 'standardDowns': 0.027, 'passingDowns': 0.011}"
2024,4426484,Marcus Major,RB,Minnesota,B1G,"{'overall': 0.133, 'pass': 0.053, 'rush': 0.226, 'firstDown': 0.144, 'secondDown': 0.169, 'thirdDown': 0.057, 'standardDowns': 0.141, 'passingDowns': 0.112}"
2024,4426499,Hank Bachmeier,QB,Wake Forest,ACC,"{'overall': 0.521, 'pass': 0.879, 'rush': 0.149, 'firstDown': 0.434, 'secondDown': 0.549, 'thirdDown': 0.645, 'standardDowns': 0.444, 'passingDowns': 0.695}"
2024,4426524,Kendall Abdur-Rahman,WR,McKendree,,"{'overall': 0.048, 'pass': 0.083, 'rush': 0, 'firstDown': 0.056, 'secondDown': 0, 'thirdDown': 0.118, 'standardDowns': 0.038, 'passingDowns': 0.065}"
2024,4426528,Ife Adeyi,WR,Sam Houston,CUSA,"{'overall': 0.042, 'pass': 0.08, 'rush': 0.014, 'firstDown': 0.05, 'secondDown': 0.031, 'thirdDown': 0.049, 'standardDowns': 0.046, 'passingDowns': 0.034}"
2024,4426530,Kay'Ron Adams,RB,Michigan State,B1G,"{'overall': 0.2, 'pass': 0.042, 'rush': 0.366, 'firstDown': 0.193, 'secondDown': 0.254, 'thirdDown': 0.136, 'standardDowns': 0.221, 'passingDowns': 0.156}"
2024,4426535,Theo Wease,WR,Missouri,SEC,"{'overall': 0.078, 'pass': 0.169, 'rush': 0, 'firstDown': 0.056, 'secondDown': 0.084, 'thirdDown': 0.104, 'standardDowns': 0.056, 'passingDowns': 0.131}"
2024,4426570,Ezeriah Anderson,WR,UConn,Ind,"{'overall': 0.019, 'pass': 0.038, 'rush': 0, 'firstDown': 0.021, 'secondDown': 0.03, 'thirdDown': 0, 'standardDowns': 0.021, 'passingDowns': 0.015}"
2024,4426612,Jarrad Baker,WR,UCF,B12,"{'overall': 0.017, 'pass': 0.042, 'rush': 0, 'firstDown': 0.012, 'secondDown': 0.009, 'thirdDown': 0.032, 'standardDowns': 0.016, 'passingDowns': 0.02}"
2024,4426635,Darwin Barlow,RB,North Carolina,ACC,"{'overall': 0.049, 'pass': 0.031, 'rush': 0.06, 'firstDown': 0.047, 'secondDown': 0.027, 'thirdDown': 0.091, 'standardDowns': 0.035, 'passingDowns': 0.082}"
2024,4426645,Jouvensly Bazil,RB,Bethune-Cookman,,"{'overall': 0.076, 'pass': 0.023, 'rush': 0.128, 'firstDown': 0.099, 'secondDown': 0.067, 'thirdDown': 0.041, 'standardDowns': 0.088, 'passingDowns': 0.058}"
2024,4426657,Ryan Hilinski,QB,Northwestern,B1G,"{'overall': 0.09, 'pass': 0.149, 'rush': 0.014, 'firstDown': 0.101, 'secondDown': 0.077, 'thirdDown': 0.071, 'standardDowns': 0.104, 'passingDowns': 0.066}"
2024,4426684,Andrew Bench,TE,South Alabama,SBC,"{'overall': 0.016, 'pass': 0.031, 'rush': 0, 'firstDown': 0, 'secondDown': 0, 'thirdDown': 0.077, 'standardDowns': 0.021, 'passingDowns': 0}"
2024,4426687,Johnathan Bennett,QB,The Citadel,,"{'overall': 0.396, 'pass': 0.713, 'rush': 0.238, 'firstDown': 0.31, 'secondDown': 0.364, 'thirdDown': 0.609, 'standardDowns': 0.326, 'passingDowns': 0.531}"
2024,4426688,Kaiden Bennett,QB,Sacramento State,,"{'overall': 0.363, 'pass': 0.5, 'rush': 0.169, 'firstDown': 0.3, 'secondDown': 0.385, 'thirdDown': 0.5, 'standardDowns': 0.277, 'passingDowns': 0.518}"
